========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 2
dataset: sparse_8_dense_1_dense_1
pretrain_path: data/sparse_8_dense_1_dense_1/ae_gamma_0.5_nz_2_update_3.pkl
gamma: 0.5
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

IDEC(
  (ae): AE(
    (enc_1): Linear(in_features=2, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=1000, bias=True)
    (z_layer): Linear(in_features=1000, out_features=2, bias=True)
    (dec_1): Linear(in_features=2, out_features=1000, bias=True)
    (dec_2): Linear(in_features=1000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2, bias=True)
  )
)=================================================

Iter 000: Acc 0.5078, NMI 0.5184, ARI 0.3425, Δlabel 0.0000
Iter 003: Acc 0.7567, NMI 0.6013, ARI 0.5684, Δlabel 0.2833
Iter 006: Acc 0.6611, NMI 0.5137, ARI 0.4127, Δlabel 0.1000
Iter 009: Acc 0.5589, NMI 0.3612, ARI 0.2237, Δlabel 0.1144
Iter 012: Acc 0.5544, NMI 0.3487, ARI 0.2083, Δlabel 0.0289
Iter 015: Acc 0.4844, NMI 0.3398, ARI 0.1765, Δlabel 0.0722
Iter 018: Acc 0.4511, NMI 0.3262, ARI 0.1557, Δlabel 0.0333
Iter 021: Acc 0.4733, NMI 0.3643, ARI 0.2043, Δlabel 0.0689
Iter 024: Acc 0.5222, NMI 0.3954, ARI 0.2459, Δlabel 0.0622
Iter 027: Acc 0.5578, NMI 0.3875, ARI 0.2501, Δlabel 0.0433
Iter 030: Acc 0.5456, NMI 0.3782, ARI 0.2359, Δlabel 0.0144
Iter 033: Acc 0.5578, NMI 0.3708, ARI 0.2333, Δlabel 0.0189
Iter 036: Acc 0.5800, NMI 0.3830, ARI 0.2564, Δlabel 0.0256
Iter 039: Acc 0.5956, NMI 0.3857, ARI 0.2679, Δlabel 0.0211
Iter 042: Acc 0.5989, NMI 0.3879, ARI 0.2720, Δlabel 0.0056
Iter 045: Acc 0.5967, NMI 0.3845, ARI 0.2674, Δlabel 0.0067
Iter 048: Acc 0.5933, NMI 0.3723, ARI 0.2536, Δlabel 0.0156
Iter 051: Acc 0.5722, NMI 0.3552, ARI 0.2241, Δlabel 0.0267
Iter 054: Acc 0.5911, NMI 0.3776, ARI 0.2574, Δlabel 0.0278
Iter 057: Acc 0.5844, NMI 0.3707, ARI 0.2467, Δlabel 0.0133
Iter 060: Acc 0.5756, NMI 0.3793, ARI 0.2504, Δlabel 0.0167
Iter 063: Acc 0.5667, NMI 0.3855, ARI 0.2521, Δlabel 0.0144
Iter 066: Acc 0.5622, NMI 0.3803, ARI 0.2449, Δlabel 0.0067
Iter 069: Acc 0.5700, NMI 0.3923, ARI 0.2603, Δlabel 0.0122
Iter 072: Acc 0.5578, NMI 0.3891, ARI 0.2516, Δlabel 0.0122
Iter 075: Acc 0.5533, NMI 0.3901, ARI 0.2508, Δlabel 0.0067
Iter 078: Acc 0.5544, NMI 0.4020, ARI 0.2627, Δlabel 0.0156
Iter 081: Acc 0.5422, NMI 0.3889, ARI 0.2454, Δlabel 0.0156
Iter 084: Acc 0.5544, NMI 0.3855, ARI 0.2467, Δlabel 0.0156
Iter 087: Acc 0.5400, NMI 0.3854, ARI 0.2412, Δlabel 0.0167
Iter 090: Acc 0.5511, NMI 0.3915, ARI 0.2513, Δlabel 0.0111
Iter 093: Acc 0.5433, NMI 0.3939, ARI 0.2508, Δlabel 0.0100
Iter 096: Acc 0.5200, NMI 0.3852, ARI 0.2350, Δlabel 0.0244
Iter 099: Acc 0.5233, NMI 0.3921, ARI 0.2428, Δlabel 0.0067
