========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 2
dataset: sparse_8_dense_1_dense_1
pretrain_path: data/sparse_8_dense_1_dense_1/ae_gamma_0.1_nz_2_update_3.pkl
gamma: 0.1
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

IDEC(
  (ae): AE(
    (enc_1): Linear(in_features=2, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=1000, bias=True)
    (z_layer): Linear(in_features=1000, out_features=2, bias=True)
    (dec_1): Linear(in_features=2, out_features=1000, bias=True)
    (dec_2): Linear(in_features=1000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2, bias=True)
  )
)=================================================

Iter 000: Acc 0.4989, NMI 0.5015, ARI 0.3312, Δlabel 0.0000
Iter 003: Acc 0.5056, NMI 0.5413, ARI 0.3554, Δlabel 0.0156
Iter 006: Acc 0.6422, NMI 0.4998, ARI 0.3886, Δlabel 0.1733
Iter 009: Acc 0.5411, NMI 0.4670, ARI 0.3135, Δlabel 0.1033
Iter 012: Acc 0.5022, NMI 0.4344, ARI 0.2791, Δlabel 0.0444
Iter 015: Acc 0.5011, NMI 0.4141, ARI 0.2601, Δlabel 0.0667
Iter 018: Acc 0.5100, NMI 0.3980, ARI 0.2458, Δlabel 0.0189
Iter 021: Acc 0.5300, NMI 0.4066, ARI 0.2588, Δlabel 0.0244
Iter 024: Acc 0.5167, NMI 0.3770, ARI 0.2256, Δlabel 0.0322
Iter 027: Acc 0.5322, NMI 0.3784, ARI 0.2314, Δlabel 0.0178
Iter 030: Acc 0.5656, NMI 0.3719, ARI 0.2380, Δlabel 0.0411
Iter 033: Acc 0.5467, NMI 0.3666, ARI 0.2242, Δlabel 0.0211
Iter 036: Acc 0.5889, NMI 0.4289, ARI 0.3026, Δlabel 0.0711
Iter 039: Acc 0.5200, NMI 0.4311, ARI 0.2790, Δlabel 0.0756
Iter 042: Acc 0.4922, NMI 0.3836, ARI 0.2279, Δlabel 0.0489
Iter 045: Acc 0.5033, NMI 0.4123, ARI 0.2586, Δlabel 0.0278
Iter 048: Acc 0.5389, NMI 0.4224, ARI 0.2761, Δlabel 0.0356
Iter 051: Acc 0.5300, NMI 0.3926, ARI 0.2452, Δlabel 0.0211
Iter 054: Acc 0.5522, NMI 0.3949, ARI 0.2551, Δlabel 0.0267
Iter 057: Acc 0.5822, NMI 0.4025, ARI 0.2759, Δlabel 0.0333
Iter 060: Acc 0.5544, NMI 0.3839, ARI 0.2451, Δlabel 0.0333
Iter 063: Acc 0.5778, NMI 0.4140, ARI 0.2840, Δlabel 0.0367
Iter 066: Acc 0.5589, NMI 0.3924, ARI 0.2554, Δlabel 0.0311
Iter 069: Acc 0.5178, NMI 0.3851, ARI 0.2343, Δlabel 0.0456
Iter 072: Acc 0.5278, NMI 0.3924, ARI 0.2444, Δlabel 0.0122
Iter 075: Acc 0.5556, NMI 0.3970, ARI 0.2584, Δlabel 0.0300
Iter 078: Acc 0.5411, NMI 0.3971, ARI 0.2531, Δlabel 0.0156
Iter 081: Acc 0.5644, NMI 0.4050, ARI 0.2696, Δlabel 0.0278
Iter 084: Acc 0.5544, NMI 0.3935, ARI 0.2546, Δlabel 0.0144
Iter 087: Acc 0.5622, NMI 0.3978, ARI 0.2620, Δlabel 0.0078
Iter 090: Acc 0.5633, NMI 0.3963, ARI 0.2610, Δlabel 0.0022
Iter 093: Acc 0.5344, NMI 0.3897, ARI 0.2437, Δlabel 0.0289
Iter 096: Acc 0.5456, NMI 0.3797, ARI 0.2374, Δlabel 0.0222
Iter 099: Acc 0.5256, NMI 0.3873, ARI 0.2386, Δlabel 0.0300
