========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 4
batch_size: 256
n_z: 2
dataset: 4C
pretrain_path: data/4C/ae_gamma_0.1_nz_2_update_3.pkl
gamma: 0.1
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

IDEC(
  (ae): AE(
    (enc_1): Linear(in_features=2, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=1000, bias=True)
    (z_layer): Linear(in_features=1000, out_features=2, bias=True)
    (dec_1): Linear(in_features=2, out_features=1000, bias=True)
    (dec_2): Linear(in_features=1000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2, bias=True)
  )
)=================================================

Iter 000: Acc 0.4600, NMI 0.2685, ARI 0.2118, Δlabel 0.0000
Iter 003: Acc 0.4090, NMI 0.2758, ARI 0.1425, Δlabel 0.2710
Iter 006: Acc 0.4230, NMI 0.2470, ARI 0.1305, Δlabel 0.1950
Iter 009: Acc 0.3550, NMI 0.0976, ARI 0.0459, Δlabel 0.2220
Iter 012: Acc 0.3660, NMI 0.0823, ARI 0.0397, Δlabel 0.2290
Iter 015: Acc 0.3450, NMI 0.0656, ARI 0.0206, Δlabel 0.0640
Iter 018: Acc 0.3290, NMI 0.0695, ARI 0.0219, Δlabel 0.0420
Iter 021: Acc 0.3300, NMI 0.0810, ARI 0.0295, Δlabel 0.0540
Iter 024: Acc 0.3430, NMI 0.0814, ARI 0.0398, Δlabel 0.0540
Iter 027: Acc 0.3530, NMI 0.0950, ARI 0.0525, Δlabel 0.0410
Iter 030: Acc 0.3520, NMI 0.1015, ARI 0.0577, Δlabel 0.0210
Iter 033: Acc 0.3520, NMI 0.1123, ARI 0.0673, Δlabel 0.0320
Iter 036: Acc 0.3800, NMI 0.1347, ARI 0.0967, Δlabel 0.0670
Iter 039: Acc 0.4500, NMI 0.2284, ARI 0.1863, Δlabel 0.0810
Iter 042: Acc 0.4670, NMI 0.2711, ARI 0.2184, Δlabel 0.0280
Iter 045: Acc 0.4700, NMI 0.2623, ARI 0.2211, Δlabel 0.0110
Iter 048: Acc 0.4680, NMI 0.2437, ARI 0.2210, Δlabel 0.0430
Iter 051: Acc 0.4730, NMI 0.2436, ARI 0.2270, Δlabel 0.0260
Iter 054: Acc 0.4190, NMI 0.1425, ARI 0.1311, Δlabel 0.0790
Iter 057: Acc 0.3930, NMI 0.1282, ARI 0.1074, Δlabel 0.0600
Iter 060: Acc 0.3720, NMI 0.1213, ARI 0.0938, Δlabel 0.0450
Iter 063: Acc 0.3870, NMI 0.1274, ARI 0.1051, Δlabel 0.0260
Iter 066: Acc 0.4080, NMI 0.1399, ARI 0.1246, Δlabel 0.0410
Iter 069: Acc 0.4370, NMI 0.1952, ARI 0.1741, Δlabel 0.0490
Iter 072: Acc 0.4730, NMI 0.2444, ARI 0.2341, Δlabel 0.0590
Iter 075: Acc 0.4840, NMI 0.2697, ARI 0.2532, Δlabel 0.0210
Iter 078: Acc 0.4810, NMI 0.2614, ARI 0.2487, Δlabel 0.0130
Iter 081: Acc 0.4390, NMI 0.1925, ARI 0.1675, Δlabel 0.0530
Iter 084: Acc 0.4150, NMI 0.1642, ARI 0.1241, Δlabel 0.0540
Iter 087: Acc 0.4010, NMI 0.1480, ARI 0.0981, Δlabel 0.0420
Iter 090: Acc 0.3880, NMI 0.1305, ARI 0.0740, Δlabel 0.0520
Iter 093: Acc 0.3920, NMI 0.1259, ARI 0.0746, Δlabel 0.0360
Iter 096: Acc 0.4180, NMI 0.1444, ARI 0.1048, Δlabel 0.0500
Iter 099: Acc 0.4210, NMI 0.1467, ARI 0.1106, Δlabel 0.0170
