========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 4
batch_size: 256
n_z: 2
dataset: 4C
pretrain_path: data/4C/ae_gamma_0.01_nz_2_update_3.pkl
gamma: 0.01
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

IDEC(
  (ae): AE(
    (enc_1): Linear(in_features=2, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=1000, bias=True)
    (z_layer): Linear(in_features=1000, out_features=2, bias=True)
    (dec_1): Linear(in_features=2, out_features=1000, bias=True)
    (dec_2): Linear(in_features=1000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2, bias=True)
  )
)=================================================

Iter 000: Acc 0.4650, NMI 0.3686, ARI 0.2855, Δlabel 0.0000
Iter 003: Acc 0.4180, NMI 0.1601, ARI 0.0829, Δlabel 0.6190
Iter 006: Acc 0.4430, NMI 0.1824, ARI 0.1091, Δlabel 0.0640
Iter 009: Acc 0.3980, NMI 0.1010, ARI 0.0509, Δlabel 0.1020
Iter 012: Acc 0.3480, NMI 0.0744, ARI 0.0282, Δlabel 0.0880
Iter 015: Acc 0.3420, NMI 0.0815, ARI 0.0297, Δlabel 0.0200
Iter 018: Acc 0.3430, NMI 0.0768, ARI 0.0260, Δlabel 0.0150
Iter 021: Acc 0.3460, NMI 0.0760, ARI 0.0260, Δlabel 0.0060
Iter 024: Acc 0.3340, NMI 0.0741, ARI 0.0241, Δlabel 0.0170
Iter 027: Acc 0.3160, NMI 0.0710, ARI 0.0231, Δlabel 0.0510
Iter 030: Acc 0.3920, NMI 0.1252, ARI 0.0564, Δlabel 0.1260
Iter 033: Acc 0.3480, NMI 0.0984, ARI 0.0417, Δlabel 0.0840
Iter 036: Acc 0.4060, NMI 0.1615, ARI 0.1052, Δlabel 0.1570
Iter 039: Acc 0.4310, NMI 0.1824, ARI 0.1377, Δlabel 0.0450
Iter 042: Acc 0.4030, NMI 0.1565, ARI 0.1026, Δlabel 0.0440
Iter 045: Acc 0.4150, NMI 0.1642, ARI 0.1145, Δlabel 0.0180
Iter 048: Acc 0.4130, NMI 0.1615, ARI 0.1077, Δlabel 0.0130
Iter 051: Acc 0.4040, NMI 0.1363, ARI 0.0964, Δlabel 0.0200
Iter 054: Acc 0.3900, NMI 0.1198, ARI 0.0794, Δlabel 0.0200
Iter 057: Acc 0.3780, NMI 0.1154, ARI 0.0673, Δlabel 0.0180
Iter 060: Acc 0.3770, NMI 0.1161, ARI 0.0668, Δlabel 0.0080
Iter 063: Acc 0.3730, NMI 0.1155, ARI 0.0656, Δlabel 0.0100
Iter 066: Acc 0.3700, NMI 0.1128, ARI 0.0623, Δlabel 0.0150
Iter 069: Acc 0.3650, NMI 0.1128, ARI 0.0601, Δlabel 0.0180
Iter 072: Acc 0.3610, NMI 0.1093, ARI 0.0565, Δlabel 0.0070
Iter 075: Acc 0.3590, NMI 0.1089, ARI 0.0554, Δlabel 0.0060
Iter 078: Acc 0.3710, NMI 0.1580, ARI 0.0783, Δlabel 0.0600
Iter 081: Acc 0.3550, NMI 0.1012, ARI 0.0495, Δlabel 0.0680
Iter 084: Acc 0.3410, NMI 0.0935, ARI 0.0395, Δlabel 0.0580
Iter 087: Acc 0.3310, NMI 0.0819, ARI 0.0318, Δlabel 0.0400
Iter 090: Acc 0.3310, NMI 0.0852, ARI 0.0328, Δlabel 0.0340
Iter 093: Acc 0.3280, NMI 0.0741, ARI 0.0227, Δlabel 0.0610
Iter 096: Acc 0.3210, NMI 0.0752, ARI 0.0258, Δlabel 0.0620
Iter 099: Acc 0.3290, NMI 0.0846, ARI 0.0322, Δlabel 0.0280
