========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 4
batch_size: 256
n_z: 2
dataset: 4C
pretrain_path: data/4C/ae_gamma_0.1_nz_2_update_3.pkl
gamma: 0.1
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

IDEC(
  (ae): AE(
    (enc_1): Linear(in_features=2, out_features=10, bias=True)
    (enc_2): Linear(in_features=10, out_features=100, bias=True)
    (enc_3): Linear(in_features=100, out_features=200, bias=True)
    (z_layer): Linear(in_features=200, out_features=2, bias=True)
    (dec_1): Linear(in_features=2, out_features=200, bias=True)
    (dec_2): Linear(in_features=200, out_features=100, bias=True)
    (dec_3): Linear(in_features=100, out_features=10, bias=True)
    (x_bar_layer): Linear(in_features=10, out_features=2, bias=True)
  )
)=================================================

Iter 000: Acc 0.4150, NMI 0.2339, ARI 0.1383, Δlabel 0.0000
Iter 003: Acc 0.4730, NMI 0.2587, ARI 0.1825, Δlabel 0.1960
Iter 006: Acc 0.4830, NMI 0.2674, ARI 0.1926, Δlabel 0.0140
Iter 009: Acc 0.4590, NMI 0.2432, ARI 0.1592, Δlabel 0.0640
Iter 012: Acc 0.4470, NMI 0.2389, ARI 0.1482, Δlabel 0.0570
Iter 015: Acc 0.4290, NMI 0.2383, ARI 0.1426, Δlabel 0.0600
Iter 018: Acc 0.4200, NMI 0.2429, ARI 0.1471, Δlabel 0.0340
Iter 021: Acc 0.4240, NMI 0.2503, ARI 0.1554, Δlabel 0.0270
Iter 024: Acc 0.4330, NMI 0.2546, ARI 0.1610, Δlabel 0.0170
Iter 027: Acc 0.4450, NMI 0.2642, ARI 0.1719, Δlabel 0.0190
Iter 030: Acc 0.4520, NMI 0.2576, ARI 0.1754, Δlabel 0.0160
Iter 033: Acc 0.4580, NMI 0.2352, ARI 0.1652, Δlabel 0.0270
Iter 036: Acc 0.4630, NMI 0.2353, ARI 0.1672, Δlabel 0.0180
Iter 039: Acc 0.4710, NMI 0.2381, ARI 0.1719, Δlabel 0.0160
Iter 042: Acc 0.4700, NMI 0.2395, ARI 0.1720, Δlabel 0.0110
Iter 045: Acc 0.4690, NMI 0.2395, ARI 0.1718, Δlabel 0.0110
Iter 048: Acc 0.4800, NMI 0.2440, ARI 0.1811, Δlabel 0.0290
Iter 051: Acc 0.4750, NMI 0.2447, ARI 0.1774, Δlabel 0.0180
Iter 054: Acc 0.4620, NMI 0.2437, ARI 0.1710, Δlabel 0.0330
Iter 057: Acc 0.4660, NMI 0.2428, ARI 0.1716, Δlabel 0.0150
Iter 060: Acc 0.4780, NMI 0.2486, ARI 0.1801, Δlabel 0.0200
Iter 063: Acc 0.4800, NMI 0.2500, ARI 0.1822, Δlabel 0.0090
Iter 066: Acc 0.4800, NMI 0.2520, ARI 0.1833, Δlabel 0.0040
Iter 069: Acc 0.4640, NMI 0.2272, ARI 0.1718, Δlabel 0.0220
Iter 072: Acc 0.4580, NMI 0.2197, ARI 0.1679, Δlabel 0.0100
Iter 075: Acc 0.4590, NMI 0.2197, ARI 0.1685, Δlabel 0.0070
Iter 078: Acc 0.4470, NMI 0.2132, ARI 0.1624, Δlabel 0.0160
Iter 081: Acc 0.4410, NMI 0.2108, ARI 0.1603, Δlabel 0.0090
Iter 084: Acc 0.4460, NMI 0.2122, ARI 0.1630, Δlabel 0.0080
Iter 087: Acc 0.4250, NMI 0.2055, ARI 0.1522, Δlabel 0.0270
Iter 090: Acc 0.4070, NMI 0.2048, ARI 0.1503, Δlabel 0.0440
Iter 093: Acc 0.4000, NMI 0.2047, ARI 0.1488, Δlabel 0.0190
Iter 096: Acc 0.4080, NMI 0.2056, ARI 0.1507, Δlabel 0.0250
Iter 099: Acc 0.4230, NMI 0.2086, ARI 0.1546, Δlabel 0.0230
