========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 2
dataset: sparse_8_dense_1_dense_1
pretrain_path: data/sparse_8_dense_1_dense_1/ae_gamma_0.5_nz_2_update_3.pkl
gamma: 0.5
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

IDEC(
  (ae): AE(
    (enc_1): Linear(in_features=2, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=1000, bias=True)
    (z_layer): Linear(in_features=1000, out_features=2, bias=True)
    (dec_1): Linear(in_features=2, out_features=1000, bias=True)
    (dec_2): Linear(in_features=1000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2, bias=True)
  )
)=================================================

Iter 000: Acc 0.5122, NMI 0.5185, ARI 0.3430, Δlabel 0.0000
Iter 003: Acc 0.7544, NMI 0.5999, ARI 0.5645, Δlabel 0.2856
Iter 006: Acc 0.6567, NMI 0.5095, ARI 0.4063, Δlabel 0.1022
Iter 009: Acc 0.5578, NMI 0.3624, ARI 0.2245, Δlabel 0.1111
Iter 012: Acc 0.5522, NMI 0.3484, ARI 0.2070, Δlabel 0.0289
Iter 015: Acc 0.4867, NMI 0.3425, ARI 0.1801, Δlabel 0.0678
Iter 018: Acc 0.4511, NMI 0.3287, ARI 0.1589, Δlabel 0.0356
Iter 021: Acc 0.4789, NMI 0.3659, ARI 0.2067, Δlabel 0.0711
Iter 024: Acc 0.5411, NMI 0.4076, ARI 0.2631, Δlabel 0.0778
Iter 027: Acc 0.6044, NMI 0.4082, ARI 0.2940, Δlabel 0.0689
Iter 030: Acc 0.5867, NMI 0.3966, ARI 0.2729, Δlabel 0.0222
Iter 033: Acc 0.5956, NMI 0.3919, ARI 0.2737, Δlabel 0.0144
Iter 036: Acc 0.5900, NMI 0.3908, ARI 0.2694, Δlabel 0.0056
Iter 039: Acc 0.5900, NMI 0.3803, ARI 0.2594, Δlabel 0.0089
Iter 042: Acc 0.5689, NMI 0.3753, ARI 0.2431, Δlabel 0.0211
Iter 045: Acc 0.5811, NMI 0.3787, ARI 0.2528, Δlabel 0.0122
Iter 048: Acc 0.5889, NMI 0.3845, ARI 0.2628, Δlabel 0.0089
Iter 051: Acc 0.5744, NMI 0.3882, ARI 0.2586, Δlabel 0.0189
Iter 054: Acc 0.5589, NMI 0.3724, ARI 0.2354, Δlabel 0.0222
Iter 057: Acc 0.5633, NMI 0.3835, ARI 0.2486, Δlabel 0.0156
Iter 060: Acc 0.5622, NMI 0.3773, ARI 0.2419, Δlabel 0.0056
Iter 063: Acc 0.5644, NMI 0.3868, ARI 0.2523, Δlabel 0.0089
Iter 066: Acc 0.5567, NMI 0.3873, ARI 0.2495, Δlabel 0.0089
Iter 069: Acc 0.5533, NMI 0.3885, ARI 0.2492, Δlabel 0.0100
Iter 072: Acc 0.5456, NMI 0.3909, ARI 0.2486, Δlabel 0.0100
Iter 075: Acc 0.5389, NMI 0.3885, ARI 0.2439, Δlabel 0.0078
Iter 078: Acc 0.5456, NMI 0.3909, ARI 0.2486, Δlabel 0.0078
Iter 081: Acc 0.5311, NMI 0.3862, ARI 0.2390, Δlabel 0.0167
Iter 084: Acc 0.5278, NMI 0.3941, ARI 0.2461, Δlabel 0.0111
Iter 087: Acc 0.5389, NMI 0.4056, ARI 0.2605, Δlabel 0.0133
Iter 090: Acc 0.5311, NMI 0.3927, ARI 0.2457, Δlabel 0.0122
Iter 093: Acc 0.5700, NMI 0.4040, ARI 0.2713, Δlabel 0.0411
Iter 096: Acc 0.5733, NMI 0.4133, ARI 0.2813, Δlabel 0.0100
Iter 099: Acc 0.5333, NMI 0.3980, ARI 0.2515, Δlabel 0.0411
