========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 4
batch_size: 256
n_z: 2
dataset: 4C
pretrain_path: data/4C/ae_gamma_0.2_nz_2_update_3.pkl
gamma: 0.2
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

IDEC(
  (ae): AE(
    (enc_1): Linear(in_features=2, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=1000, bias=True)
    (z_layer): Linear(in_features=1000, out_features=2, bias=True)
    (dec_1): Linear(in_features=2, out_features=1000, bias=True)
    (dec_2): Linear(in_features=1000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2, bias=True)
  )
)=================================================

Iter 000: Acc 0.4310, NMI 0.2927, ARI 0.2112, Δlabel 0.0000
Iter 003: Acc 0.3600, NMI 0.1277, ARI 0.0560, Δlabel 0.2990
Iter 006: Acc 0.3520, NMI 0.0939, ARI 0.0444, Δlabel 0.1110
Iter 009: Acc 0.3840, NMI 0.1447, ARI 0.0770, Δlabel 0.0550
Iter 012: Acc 0.4110, NMI 0.1680, ARI 0.1110, Δlabel 0.0590
Iter 015: Acc 0.4690, NMI 0.2537, ARI 0.2183, Δlabel 0.1090
Iter 018: Acc 0.4640, NMI 0.2420, ARI 0.2203, Δlabel 0.0510
Iter 021: Acc 0.4650, NMI 0.2478, ARI 0.2309, Δlabel 0.0310
Iter 024: Acc 0.4260, NMI 0.1700, ARI 0.1446, Δlabel 0.0630
Iter 027: Acc 0.4230, NMI 0.1768, ARI 0.1505, Δlabel 0.0190
Iter 030: Acc 0.4760, NMI 0.2541, ARI 0.2372, Δlabel 0.0890
Iter 033: Acc 0.4740, NMI 0.2541, ARI 0.2387, Δlabel 0.0190
Iter 036: Acc 0.4190, NMI 0.1697, ARI 0.1380, Δlabel 0.0740
Iter 039: Acc 0.4030, NMI 0.1576, ARI 0.1173, Δlabel 0.0220
Iter 042: Acc 0.4040, NMI 0.1565, ARI 0.1156, Δlabel 0.0090
Iter 045: Acc 0.4080, NMI 0.1613, ARI 0.1203, Δlabel 0.0150
Iter 048: Acc 0.4150, NMI 0.1675, ARI 0.1271, Δlabel 0.0170
Iter 051: Acc 0.4150, NMI 0.1703, ARI 0.1260, Δlabel 0.0220
Iter 054: Acc 0.4610, NMI 0.2179, ARI 0.1979, Δlabel 0.0740
Iter 057: Acc 0.4670, NMI 0.2291, ARI 0.2128, Δlabel 0.0750
Iter 060: Acc 0.4540, NMI 0.2048, ARI 0.1751, Δlabel 0.0850
Iter 063: Acc 0.4430, NMI 0.1927, ARI 0.1596, Δlabel 0.0200
Iter 066: Acc 0.4470, NMI 0.1996, ARI 0.1679, Δlabel 0.0120
Iter 069: Acc 0.4370, NMI 0.1870, ARI 0.1503, Δlabel 0.0180
Iter 072: Acc 0.4240, NMI 0.1784, ARI 0.1261, Δlabel 0.0330
Iter 075: Acc 0.4340, NMI 0.1866, ARI 0.1348, Δlabel 0.0120
Iter 078: Acc 0.4310, NMI 0.1747, ARI 0.1290, Δlabel 0.0050
Iter 081: Acc 0.3910, NMI 0.1064, ARI 0.0746, Δlabel 0.0990
Iter 084: Acc 0.4170, NMI 0.1676, ARI 0.1175, Δlabel 0.1060
Iter 087: Acc 0.4100, NMI 0.1611, ARI 0.1071, Δlabel 0.0210
Iter 090: Acc 0.4210, NMI 0.1731, ARI 0.1207, Δlabel 0.0270
Iter 093: Acc 0.4170, NMI 0.1592, ARI 0.1139, Δlabel 0.0090
Iter 096: Acc 0.4150, NMI 0.1730, ARI 0.1148, Δlabel 0.0180
Iter 099: Acc 0.3820, NMI 0.1047, ARI 0.0641, Δlabel 0.0480
